month,begin_balance,sched_principal,prepayment,total_principal,interest,total_cash,end_balance,CPR,SMM
131,6174003.205439948,-74816.7046552541,32137.76098137033,-42678.94367388377,26342.413676543776,-16336.529997339992,6216682.149113831,0.06,0.005143012831822946
132,6216682.149113831,-74998.801481596,32358.195862648274,-42640.60561894773,26524.51050288568,-16116.09511606205,6259322.754732779,0.06,0.005143012831822946
133,6259322.754732779,-75180.73473223686,32578.432729545806,-42602.30200269105,26706.443753526524,-15895.858249164528,6301925.05673547,0.06,0.005143012831822946
134,6301925.05673547,-75362.504554115,32798.4717599372,-42564.0327941778,26888.213575404672,-15675.81921877313,6344489.0895296475,0.06,0.005143012831822946
135,6344489.0895296475,-75544.11109403682,33018.31313153695,-42525.79796249988,27069.820115326496,-15455.97784717338,6387014.887492147,0.06,0.005143012831822946
136,6387014.887492147,-75725.55449867682,33237.95702189991,-42487.597476776915,27251.263519966495,-15236.33395681042,6429502.484968924,0.06,0.005143012831822946
137,6429502.484968924,-75906.83491457773,33457.40360842144,-42449.43130615629,27432.54393586741,-15016.887370288885,6471951.91627508,0.06,0.005143012831822946
138,6471951.91627508,-76087.95248815067,33676.65306833754,-42411.29941981313,27613.661509440342,-14797.637910372785,6514363.215694893,0.06,0.005143012831822946
139,6514363.215694893,-76268.9073656752,33895.70557872501,-42373.201786950194,27794.616386964877,-14578.585399985317,6556736.417481843,0.06,0.005143012831822946
140,6556736.417481843,-76449.69969329952,34114.56131650159,-42335.138376797935,27975.4087145892,-14359.729662208734,6599071.555858641,0.06,0.005143012831822946
141,6599071.555858641,-76630.32961704052,34333.22045842606,-42297.10915861446,28156.038638330203,-14141.070520284258,6641368.665017256,0.06,0.005143012831822946
142,6641368.665017256,-76810.79728278395,34551.68318109849,-42259.11410168547,28336.506304073624,-13922.607797611843,6683627.779118941,0.06,0.005143012831822946
143,6683627.779118941,-76991.10283628448,34769.94966096023,-42221.15317532425,28516.81185757415,-13704.341317750102,6725848.932294265,0.06,0.005143012831822946
144,6725848.932294265,-77171.24642316587,34988.02007429418,-42183.226348871685,28696.955444455532,-13486.270904416153,6768032.158643137,0.06,0.005143012831822946
145,6768032.158643137,-77351.22818892104,35205.89459722489,-42145.33359169615,28876.93721021072,-13268.396381485432,6810177.492234833,0.06,0.005143012831822946
146,6810177.492234833,-77531.04827891228,35423.573405718686,-42107.47487319359,29056.757300201953,-13050.717572991638,6852284.967108026,0.06,0.005143012831822946
147,6852284.967108026,-77710.70683837123,35641.05667558383,-42069.6501627874,29236.415859660912,-12833.23430312649,6894354.617270813,0.06,0.005143012831822946
148,6894354.617270813,-77890.20401239913,35858.34458247065,-42031.85942992848,29415.913033688805,-12615.946396239677,6936386.476700742,0.06,0.005143012831822946
149,6936386.476700742,-78069.53994596683,36075.437301871694,-41994.10264409513,29595.2489672565,-12398.853676838633,6978380.579344837,0.06,0.005143012831822946
150,6978380.579344837,-78248.71478391497,36292.335009121874,-41956.379774793095,29774.42380520464,-12181.955969588456,7020336.95911963,0.06,0.005143012831822946
151,7020336.95911963,-78427.72867095408,36509.03787939858,-41918.6907915555,29953.437692243755,-11965.253099311743,7062255.649911186,0.06,0.005143012831822946
152,7062255.649911186,-78606.58175166472,36725.54608772188,-41881.03566394284,30132.290772954395,-11748.744890988448,7104136.6855751285,0.06,0.005143012831822946
153,7104136.6855751285,-78785.27417049755,36941.85980895458,-41843.41436154297,30310.983191787218,-11532.431169755753,7145980.099936672,0.06,0.005143012831822946
