month,begin_balance,sched_principal,prepayment,total_principal,interest,total_cash,end_balance,CPR,SMM
49,11093.975323105922,-259.0124212565052,58.388561648784616,-200.6238596077206,47.3342947119186,-153.289564895802,11294.599182713642,0.06,0.005143012831822946
50,11294.599182713642,-259.8684163908315,59.42477512707678,-200.44364126375473,48.19028984624487,-152.25335141750986,11495.042823977397,0.06,0.005143012831822946
51,11495.042823977397,-260.72364259355686,60.46005778548832,-200.26358480806854,49.04551604897023,-151.21806875909832,11695.306408785465,0.06,0.005143012831822946
52,11695.306408785465,-261.5781005554046,61.49441046016511,-200.0836900952395,49.899974010817985,-150.18371608442152,11895.390098880705,0.06,0.005143012831822946
53,11895.390098880705,-262.4317909664776,62.52783398650196,-199.90395697997565,50.75366442189101,-149.15029255808463,12095.29405586068,0.06,0.005143012831822946
54,12095.29405586068,-263.2847145162589,63.560329199143254,-199.7243853171156,51.60658797167224,-148.11779734544336,12295.018441177795,0.06,0.005143012831822946
55,12295.018441177795,-264.1368718936119,64.59189693198358,-199.54497496162833,52.458745349025264,-147.08622961260306,12494.563416139425,0.06,0.005143012831822946
56,12494.563416139425,-264.9882637867815,65.62253801816851,-199.36572576861298,53.310137242194884,-146.0555885264181,12693.929141908038,0.06,0.005143012831822946
57,12693.929141908038,-265.83889088339424,66.65225329009516,-199.18663759329908,54.16076433880763,-145.02587325449144,12893.115779501337,0.06,0.005143012831822946
58,12893.115779501337,-266.688753870459,67.68104357941293,-199.00771029104607,55.01062732587237,-143.9970829651737,13092.123489792382,0.06,0.005143012831822946
59,13092.123489792382,-267.53785343436743,68.70890971702416,-198.8289437173433,55.85972688978083,-142.96921682756246,13290.952433509725,0.06,0.005143012831822946
60,13290.952433509725,-268.38619026089475,69.73585253308478,-198.65033772780998,56.70806371630816,-141.9422740115018,13489.602771237534,0.06,0.005143012831822946
61,13489.602771237534,-269.23376503520007,70.76187285700506,-198.471892178195,57.55563849061348,-140.9162536875815,13688.07466341573,0.06,0.005143012831822946
62,13688.07466341573,-270.0805784418271,71.78697151745013,-198.29360692437695,58.40245189724045,-139.8911550271365,13886.368270340106,0.06,0.005143012831822946
63,13886.368270340106,-270.9266311647044,72.81114934234081,-198.11548182236362,59.24850462011779,-138.86697720224583,14084.48375216247,0.06,0.005143012831822946
64,14084.48375216247,-271.7719238871465,73.83440715885419,-197.9375167282923,60.093797342559874,-137.84371938573244,14282.421268890763,0.06,0.005143012831822946
65,14282.421268890763,-272.61645729185386,74.85674579342427,-197.7597114984296,60.93833074726726,-136.82138075116234,14480.180980389192,0.06,0.005143012831822946
66,14480.180980389192,-273.4602320609138,75.87816607174274,-197.5820659891711,61.78210551632722,-135.79996047284388,14677.763046378363,0.06,0.005143012831822946
67,14677.763046378363,-274.30324887580093,76.89866881875955,-197.4045800570414,62.62512233121435,-134.77945772582703,14875.167626435405,0.06,0.005143012831822946
68,14875.167626435405,-275.14550841737764,77.91825485868358,-197.22725355869406,63.467381872791066,-133.759871685903,15072.394879994099,0.06,0.005143012831822946
69,15072.394879994099,-275.9870113658948,78.93692501498339,-197.05008635091139,64.30888482130815,-132.74120152960325,15269.44496634501,0.06,0.005143012831822946
70,15269.44496634501,-276.82775840099197,79.95468011038777,-196.8730782906042,65.14963185640538,-131.72344643419882,15466.318044635615,0.06,0.005143012831822946
71,15466.318044635615,-277.6677502016986,80.97152096688649,-196.6962292348121,65.98962365711196,-130.70660557770015,15663.014273870427,0.06,0.005143012831822946
72,15663.014273870427,-278.50698744643375,81.98744840573093,-196.51953904070282,66.82886090184716,-129.69067813885567,15859.53381291113,0.06,0.005143012831822946
73,15859.53381291113,-279.3454708130074,83.00246324743475,-196.34300756557266,67.66734426842082,-128.67566329715186,16055.876820476702,0.06,0.005143012831822946
74,16055.876820476702,-280.18320097862056,84.01656631177457,-196.166634666846,68.50507443403393,-127.66156023281206,16252.043455143548,0.06,0.005143012831822946
75,16252.043455143548,-281.02017861986576,85.02975841779055,-195.9904202020752,69.34205207527914,-126.64836812679606,16448.033875345624,0.06,0.005143012831822946
76,16448.033875345624,-281.85640441272795,86.04204038378718,-195.81436402894076,70.17827786814134,-125.63608616079942,16643.848239374565,0.06,0.005143012831822946
77,16643.848239374565,-282.6918790325848,87.05341302733386,-195.6384660052509,71.01375248799815,-124.62471351725276,16839.486705379815,0.06,0.005143012831822946
78,16839.486705379815,-283.5266031542071,88.06387716526557,-195.46272598894154,71.84847660962055,-123.614249379321,17034.949431368757,0.06,0.005143012831822946
79,17034.949431368757,-284.36057745176,89.0734336136835,-195.28714383807647,72.68245090717336,-122.60469293090311,17230.236575206833,0.06,0.005143012831822946
80,17230.236575206833,-285.19380259880245,90.08208318795582,-195.11171941084663,73.51567605421582,-121.59604335663082,17425.34829461768,0.06,0.005143012831822946
81,17425.34829461768,-286.0262792682887,91.0898267027182,-194.9364525655705,74.34815272370211,-120.58829984186839,17620.28474718325,0.06,0.005143012831822946
82,17620.28474718325,-286.85800813256844,92.09666497187456,-194.76134316069388,75.17988158798187,-119.58146157271202,17815.046090343945,0.06,0.005143012831822946
83,17815.046090343945,-287.6889898633874,93.1025988085977,-194.58639105478971,76.01086331880083,-118.57552773598889,18009.632481398734,0.06,0.005143012831822946
84,18009.632481398734,-288.5192251318879,94.10762902532993,-194.41159610655797,76.84109858730127,-117.57049751925669,18204.044077505292,0.06,0.005143012831822946
85,18204.044077505292,-289.34871460860916,95.11175643378377,-194.2369581748254,77.67058806402258,-116.56637011080281,18398.281035680116,0.06,0.005143012831822946
86,18398.281035680116,-290.17745896348845,96.1149818449426,-194.06247711854584,78.49933241890183,-115.56314469964401,18592.343512798663,0.06,0.005143012831822946
87,18592.343512798663,-291.0054588658609,97.11730606906129,-193.8881527967996,79.3273323212743,-114.5608204755253,18786.231665595464,0.06,0.005143012831822946
88,18786.231665595464,-291.8327149844606,98.11872991566683,-193.71398506879376,80.15458843987398,-113.55939662891979,18979.945650664256,0.06,0.005143012831822946
89,18979.945650664256,-292.65922798742076,99.11925419355909,-193.5399737938617,80.98110144283416,-112.55887235102753,19173.485624458117,0.06,0.005143012831822946
90,19173.485624458117,-293.4849985422746,100.11887971081134,-193.36611883146324,81.80687199768796,-111.55924683377528,19366.85174328958,0.06,0.005143012831822946
91,19366.85174328958,-294.3100273159555,101.11760727477102,-193.19242004118448,82.63190077136888,-110.5605192698156,19560.044163330764,0.06,0.005143012831822946
92,19560.044163330764,-295.13431497479786,102.11543769206031,-193.01887728273755,83.45618843021126,-109.56268885252629,19753.063040613502,0.06,0.005143012831822946
93,19753.063040613502,-295.95786218453753,103.11237176857678,-192.84549041596074,84.27973563995094,-108.5657547760098,19945.90853102946,0.06,0.005143012831822946
94,19945.90853102946,-296.7806696103123,104.10841030949412,-192.6722593008182,85.10254306572571,-107.5697162350925,20138.58079033028,0.06,0.005143012831822946
95,20138.58079033028,-297.6027379166625,105.10355411926277,-192.49918379739972,85.92461137207587,-106.57457242532385,20331.079974127682,0.06,0.005143012831822946
96,20331.079974127682,-298.42406776753137,106.09780400161041,-192.32626376592094,86.74594122294478,-105.58032254297616,20523.406237893603,0.06,0.005143012831822946
97,20523.406237893603,-299.244659826266,107.09116075954287,-192.15349906672313,87.56653328167938,-104.58696578504374,20715.559736960327,0.06,0.005143012831822946
98,20715.559736960327,-300.0645147556173,108.08362519534461,-191.98088956027271,88.38638821103073,-103.59450134924198,20907.5406265206,0.06,0.005143012831822946
99,20907.5406265206,-300.88363321774114,109.07519811057936,-191.80843510716176,89.20550667315456,-102.6029284340072,21099.349061627763,0.06,0.005143012831822946
100,21099.349061627763,-301.7020158741984,110.06588030609088,-191.63613556810753,90.02388932961179,-101.61224623849574,21290.98519719587,0.06,0.005143012831822946
101,21290.98519719587,-302.51966338595565,111.0556725820035,-191.46399080395216,90.84153684136905,-100.62245396258311,21482.449187999824,0.06,0.005143012831822946
102,21482.449187999824,-303.33657641338584,112.04457573772281,-191.29200067566302,91.65844986879925,-99.63355080686377,21673.741188675485,0.06,0.005143012831822946
103,21673.741188675485,-304.1527556162687,113.03259057193631,-191.12016504433237,92.47462907168207,-98.6455359726503,21864.861353719818,0.06,0.005143012831822946
104,21864.861353719818,-304.9682016537912,114.01971788261407,-190.9484837711771,93.29007510920457,-97.65840866197254,22055.809837490997,0.06,0.005143012831822946
105,22055.809837490997,-305.7829151845482,115.00595846700932,-190.77695671753887,94.1047886399616,-96.67216807757727,22246.586794208535,0.06,0.005143012831822946
106,22246.586794208535,-306.59689686654303,115.99131312165913,-190.60558374488392,94.91877032195642,-95.6868134229275,22437.19237795342,0.06,0.005143012831822946
107,22437.19237795342,-307.41014735718784,116.97578264238503,-190.43436471480283,95.73202081260126,-94.70234390220156,22627.62674266822,0.06,0.005143012831822946
108,22627.62674266822,-308.2226673133043,117.95936782429374,-190.2632994890106,96.54454076871775,-93.71875872029284,22817.890042157233,0.06,0.005143012831822946
109,22817.890042157233,-309.03445739112414,118.94206946177766,-190.09238792934647,97.35633084653753,-92.73605708280894,23007.98243008658,0.06,0.005143012831822946
110,23007.98243008658,-309.8455182462893,119.92388834851567,-189.92162989777364,98.16739170170274,-91.7542381960709,23197.904059984354,0.06,0.005143012831822946
111,23197.904059984354,-310.6558505338532,120.90482527747363,-189.75102525637956,98.97772398926658,-90.77330126711298,23387.655085240734,0.06,0.005143012831822946
112,23387.655085240734,-311.46545490828044,121.88488104090514,-189.58057386737528,99.7873283636938,-89.79324550368148,23577.23565910811,0.06,0.005143012831822946
113,23577.23565910811,-312.27433202344787,122.8640564303521,-189.41027559309578,100.59620547886128,-88.8140701142345,23766.645934701206,0.06,0.005143012831822946
114,23766.645934701206,-313.0824825326451,123.84235223664534,-189.24013029599973,101.40435598805848,-87.83577430794125,23955.886064997205,0.06,0.005143012831822946
115,23955.886064997205,-313.88990708857466,124.81976924990538,-189.07013783866927,102.21178054398808,-86.85835729468118,24144.956202835874,0.06,0.005143012831822946
116,24144.956202835874,-314.696606343353,125.79630825954294,-188.90029808381004,103.0184797987664,-85.88181828504364,24333.856500919683,0.06,0.005143012831822946
117,24333.856500919683,-315.50258094851057,126.7719700542596,-188.73061089425096,103.82445440392398,-84.90615649032698,24522.587111813933,0.06,0.005143012831822946
118,24522.587111813933,-316.30783155499273,127.74675542204848,-188.56107613294427,104.62970501040611,-83.93137112253815,24711.148187946877,0.06,0.005143012831822946
119,24711.148187946877,-317.11235881316,128.72066515019486,-188.3916936629651,105.43423226857335,-82.95746139439176,24899.539881609842,0.06,0.005143012831822946
120,24899.539881609842,-317.9161633727886,129.6937000252768,-188.22246334751182,106.238036828202,-81.98442651930982,25087.762344957355,0.06,0.005143012831822946
121,25087.762344957355,-318.7192458830713,130.66586083316577,-188.05338504990556,107.04111933848472,-81.01226571142084,25275.81573000726,0.06,0.005143012831822946
122,25275.81573000726,-319.5216069926176,131.63714835902732,-187.88445863359027,107.84348044803097,-80.0409781855593,25463.70018864085,0.06,0.005143012831822946
123,25463.70018864085,-320.3232473494542,132.6075633873217,-187.71568396213252,108.64512080486763,-79.07056315726489,25651.415872602982,0.06,0.005143012831822946
124,25651.415872602982,-321.124167601026,133.57710670180447,-187.54706089922152,109.4460410564394,-78.10101984278212,25838.962933502204,0.06,0.005143012831822946
125,25838.962933502204,-321.924368394196,134.54577908552716,-187.37858930866884,110.2462418496094,-77.13234745905943,26026.34152281087,0.06,0.005143012831822946
126,26026.34152281087,-322.72385037524634,135.51358132083786,-187.21026905440849,111.04572383065972,-76.16454522374876,26213.55179186528,0.06,0.005143012831822946
127,26213.55179186528,-323.5226141898785,136.48051418938198,-187.0421000004965,111.84448764529186,-75.19761235520464,26400.593891865778,0.06,0.005143012831822946
128,26400.593891865778,-324.32066048321394,137.44657847210266,-186.87408201111128,112.64253393862732,-74.23154807248396,26587.46797387689,0.06,0.005143012831822946
129,26587.46797387689,-325.1179898997947,138.4117749492416,-186.7062149505531,113.43986335520808,-73.26635159534501,26774.174188827445,0.06,0.005143012831822946
130,26774.174188827445,-325.9146030835837,139.3761044003396,-186.5384986832441,114.2364765389971,-72.30202214424699,26960.712687510688,0.06,0.005143012831822946
